                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3305,                 1.5938,                  1.488,                0.73712,                0.75387,                0.80356,                0.49187,                 1.3494,                0.89053,                 1.6265,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.2439,                 1.1005,                 1.3792,                0.72193,                0.74141,                0.79125,                0.48347,                 1.3679,                0.94387,                 1.6452,              0.0066281,              0.0066281,              0.0066281
                      3,                  1.302,                  1.211,                 1.4277,                0.67602,                0.63668,                0.67359,                0.38893,                 1.4532,                 1.1632,                 1.7336,              0.0098955,              0.0098955,              0.0098955
                      4,                 1.3419,                  1.299,                 1.4604,                0.75332,                0.69218,                0.76528,                0.46033,                 1.4433,                0.98444,                 1.7037,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3149,                 1.2368,                 1.4412,                0.71829,                  0.706,                0.75803,                0.46495,                  1.373,                0.96304,                 1.6524,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2963,                  1.187,                 1.4272,                0.73108,                0.71558,                0.78268,                0.48702,                 1.3718,                0.91346,                 1.6598,               0.009802,               0.009802,               0.009802
                      7,                 1.2767,                 1.1417,                 1.4101,                0.75977,                0.72055,                 0.7945,                0.49569,                 1.3575,                0.87529,                 1.6231,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2699,                 1.1286,                 1.4107,                0.77256,                0.77259,                0.82859,                 0.5276,                 1.3364,                0.80982,                 1.5893,               0.009703,               0.009703,               0.009703
                      9,                 1.2501,                 1.0739,                 1.3893,                0.79494,                0.76759,                0.83963,                0.53317,                 1.3103,                0.79368,                 1.5717,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.247,                 1.0613,                 1.3861,                0.79557,                0.77221,                0.84955,                0.53569,                 1.3264,                0.80052,                 1.5882,               0.009604,               0.009604,               0.009604
                     11,                 1.2313,                 1.0407,                 1.3769,                0.82267,                0.75084,                 0.8441,                0.53506,                 1.3261,                0.76952,                 1.5744,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2245,                 1.0162,                 1.3673,                0.84716,                0.78275,                0.87394,                 0.5625,                 1.2886,                 0.7319,                 1.5506,               0.009505,               0.009505,               0.009505
                     13,                  1.215,                 1.0011,                 1.3657,                0.81447,                0.80979,                0.87852,                0.56826,                 1.2875,                0.71116,                 1.5519,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2108,                0.99372,                 1.3629,                0.87391,                0.78686,                0.88317,                0.57274,                  1.295,                0.70301,                 1.5558,               0.009406,               0.009406,               0.009406
                     15,                 1.2083,                0.98011,                 1.3594,                0.84307,                0.76483,                0.86572,                0.55637,                 1.2939,                0.74106,                 1.5509,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2002,                0.96235,                 1.3508,                0.82313,                0.80746,                0.87569,                 0.5636,                 1.3031,                 0.7113,                 1.5588,               0.009307,               0.009307,               0.009307
