                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3366,                 1.5931,                 1.4833,                0.76667,                0.74201,                0.81757,                0.49805,                 1.3435,                0.88651,                 1.5941,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.2446,                 1.1148,                 1.3792,                0.73693,                0.71378,                0.77053,                0.45182,                 1.3987,                 1.0127,                 1.6497,              0.0066281,              0.0066281,              0.0066281
                      3,                 1.2944,                 1.2053,                 1.4244,                0.65702,                0.59665,                0.62458,                0.35714,                 1.4738,                 1.2753,                 1.7703,              0.0098955,              0.0098955,              0.0098955
                      4,                 1.3355,                  1.305,                 1.4637,                0.66941,                0.67523,                0.72171,                0.43434,                 1.4047,                  1.134,                 1.6768,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3137,                 1.2518,                 1.4416,                0.73041,                0.72569,                0.79013,                0.48502,                 1.3657,                0.95373,                 1.6319,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2933,                 1.1792,                 1.4258,                0.78642,                0.74258,                0.81669,                0.49884,                 1.3562,                0.90398,                 1.6025,               0.009802,               0.009802,               0.009802
                      7,                 1.2772,                  1.144,                 1.4105,                0.80242,                0.74714,                0.83237,                0.51533,                 1.3598,                0.86047,                  1.618,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2619,                 1.1074,                 1.4028,                0.79185,                 0.7806,                0.84563,                0.54314,                 1.3115,                0.78973,                 1.5558,               0.009703,               0.009703,               0.009703
                      9,                 1.2463,                 1.0829,                 1.3935,                0.80394,                0.77269,                0.84254,                0.53859,                 1.2937,                0.79877,                 1.5542,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2385,                 1.0585,                 1.3851,                0.80636,                0.78938,                0.85304,                0.53899,                 1.3276,                0.77457,                 1.5726,               0.009604,               0.009604,               0.009604
