                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.014,                0.65808,                 1.2297,                0.92603,                0.86891,                0.93774,                0.64303,                 1.2355,                 0.5235,                 1.4565,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0129,                0.66171,                 1.2293,                0.92797,                0.87145,                0.93753,                0.64254,                 1.2358,                0.52227,                 1.4567,               0.007525,               0.007525,               0.007525
                     53,                  1.008,                0.65431,                 1.2272,                0.92593,                0.87191,                0.93764,                0.64206,                 1.2366,                0.52272,                 1.4574,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0017,                0.65131,                 1.2249,                0.91881,                0.87852,                0.93849,                0.64196,                 1.2373,                 0.5221,                 1.4581,               0.007426,               0.007426,               0.007426
                     55,                 0.9987,                0.64682,                  1.222,                 0.9188,                 0.8782,                0.93884,                0.64368,                  1.238,                0.52193,                 1.4588,              0.0073765,              0.0073765,              0.0073765
                     56,                 0.9911,                0.64202,                 1.2184,                0.92066,                0.88043,                0.93863,                0.64338,                 1.2389,                0.52096,                 1.4598,               0.007327,               0.007327,               0.007327
                     57,                0.98904,                0.64024,                 1.2138,                0.92489,                0.87185,                0.94036,                0.64465,                 1.2397,                0.52045,                  1.461,              0.0072775,              0.0072775,              0.0072775
                     58,                0.99052,                0.64305,                 1.2158,                0.92817,                0.87443,                0.94003,                0.64334,                 1.2415,                0.52176,                 1.4622,               0.007228,               0.007228,               0.007228
                     59,                0.98516,                0.63704,                 1.2143,                0.92822,                0.87568,                0.93988,                0.64295,                 1.2433,                0.52148,                 1.4636,              0.0071785,              0.0071785,              0.0071785
                     60,                0.98213,                0.63698,                 1.2128,                0.92382,                0.87732,                0.93923,                0.64457,                 1.2452,                0.52182,                 1.4659,               0.007129,               0.007129,               0.007129
                     61,                0.97725,                0.63396,                 1.2104,                0.92544,                0.87021,                0.93888,                0.64467,                 1.2457,                 0.5227,                 1.4665,              0.0070795,              0.0070795,              0.0070795
                     62,                0.97431,                 0.6294,                 1.2066,                0.93173,                0.86907,                0.93883,                0.64332,                 1.2477,                0.52147,                 1.4692,                0.00703,                0.00703,                0.00703
                     63,                0.97036,                0.62878,                 1.2096,                0.93124,                0.86812,                0.93832,                0.64311,                 1.2481,                 0.5205,                 1.4708,              0.0069805,              0.0069805,              0.0069805
                     64,                0.96955,                0.62368,                 1.2063,                0.93283,                 0.8672,                0.93864,                0.64347,                 1.2487,                0.51878,                 1.4719,               0.006931,               0.006931,               0.006931
                     65,                0.96403,                0.62127,                 1.2038,                0.93278,                0.86612,                0.93849,                 0.6432,                 1.2506,                0.52002,                 1.4734,              0.0068815,              0.0068815,              0.0068815
                     66,                0.96409,                0.61999,                 1.2013,                0.93235,                0.86706,                0.93873,                0.64269,                 1.2513,                 0.5207,                 1.4746,               0.006832,               0.006832,               0.006832
                     67,                0.96013,                0.61781,                  1.199,                0.93303,                0.86736,                0.93871,                0.64314,                 1.2517,                0.52061,                 1.4765,              0.0067825,              0.0067825,              0.0067825
                     68,                0.95775,                0.61272,                 1.1999,                0.93401,                0.86741,                0.93871,                0.64115,                 1.2513,                0.52282,                 1.4762,               0.006733,               0.006733,               0.006733
                     69,                0.95189,                0.61249,                 1.1958,                0.93557,                0.86892,                0.93945,                0.64015,                 1.2517,                0.52274,                 1.4767,              0.0066835,              0.0066835,              0.0066835
                     70,                0.94899,                0.60796,                 1.1934,                0.93957,                0.86739,                0.93927,                0.63974,                 1.2526,                0.52279,                 1.4778,               0.006634,               0.006634,               0.006634
                     71,                0.94667,                0.60771,                  1.192,                0.94197,                0.86677,                0.93905,                0.64003,                 1.2534,                0.52389,                 1.4793,              0.0065845,              0.0065845,              0.0065845
                     72,                0.93975,                0.60116,                 1.1877,                0.94168,                0.86599,                0.93906,                0.64067,                 1.2543,                0.52419,                 1.4807,               0.006535,               0.006535,               0.006535
                     73,                0.94082,                0.60321,                 1.1873,                0.94052,                0.86785,                0.93906,                0.63964,                 1.2552,                0.52536,                 1.4825,              0.0064855,              0.0064855,              0.0064855
                     74,                0.93805,                0.60051,                  1.187,                0.93768,                0.86583,                  0.937,                0.63926,                 1.2567,                0.52492,                 1.4848,               0.006436,               0.006436,               0.006436
                     75,                0.93382,                0.59802,                 1.1848,                0.93786,                0.86607,                0.93758,                0.63883,                 1.2571,                0.52449,                 1.4862,              0.0063865,              0.0063865,              0.0063865
                     76,                0.93105,                0.59618,                 1.1842,                0.93629,                0.86688,                0.93835,                0.63859,                  1.259,                0.52197,                 1.4897,               0.006337,               0.006337,               0.006337
                     77,                  0.929,                0.59526,                 1.1823,                0.93717,                0.86755,                0.93662,                0.63652,                 1.2595,                0.52276,                 1.4917,              0.0062875,              0.0062875,              0.0062875
                     78,                0.92434,                0.58979,                 1.1797,                0.93235,                 0.8718,                0.93637,                0.63576,                 1.2607,                  0.523,                 1.4932,               0.006238,               0.006238,               0.006238
                     79,                0.92323,                0.58932,                 1.1775,                0.93475,                0.86924,                0.93688,                0.63624,                 1.2623,                0.52227,                 1.4959,              0.0061885,              0.0061885,              0.0061885
                     80,                 0.9197,                0.58872,                  1.177,                0.93534,                0.87147,                 0.9381,                0.63755,                 1.2635,                 0.5237,                 1.4978,               0.006139,               0.006139,               0.006139
                     81,                0.91712,                0.58852,                  1.176,                0.93315,                 0.8723,                0.93722,                  0.636,                 1.2657,                0.52339,                 1.5013,              0.0060895,              0.0060895,              0.0060895
                     82,                0.91393,                0.58391,                 1.1718,                0.93101,                0.87066,                0.93675,                0.63658,                 1.2673,                0.52478,                 1.5036,                0.00604,                0.00604,                0.00604
                     83,                0.90752,                0.58231,                 1.1702,                0.93107,                0.87175,                0.93568,                0.63526,                 1.2684,                0.52661,                 1.5059,              0.0059905,              0.0059905,              0.0059905
                     84,                0.90813,                0.57826,                 1.1709,                0.93076,                0.87074,                0.93468,                0.63383,                 1.2692,                0.52844,                 1.5081,               0.005941,               0.005941,               0.005941
                     85,                0.90603,                0.57812,                 1.1703,                0.93169,                0.87017,                0.93563,                0.63394,                 1.2709,                0.52989,                 1.5104,              0.0058915,              0.0058915,              0.0058915
                     86,                0.90113,                0.57664,                 1.1671,                0.93082,                 0.8693,                0.93623,                0.63306,                 1.2723,                0.53191,                 1.5126,               0.005842,               0.005842,               0.005842
                     87,                 0.8982,                0.57231,                  1.165,                 0.9047,                0.89593,                0.93556,                0.63223,                  1.274,                0.53142,                  1.516,              0.0057925,              0.0057925,              0.0057925
