                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2665,                 1.3318,                  1.426,                0.77729,                0.80367,                0.85562,                 0.5592,                 1.2757,                0.75675,                 1.5029,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2247,                 1.0414,                 1.3684,                0.84715,                0.74657,                0.87136,                0.55431,                 1.3171,                0.78085,                 1.5609,              0.0066321,              0.0066321,              0.0066321
                      3,                 1.2776,                 1.1425,                 1.4112,                0.74557,                0.73661,                0.80029,                0.50532,                 1.3501,                0.90386,                 1.5685,              0.0098994,              0.0098994,              0.0098994
                      4,                 1.2923,                 1.1724,                 1.4184,                0.74497,                0.77925,                0.83132,                0.53672,                 1.3275,                0.82024,                 1.5497,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2541,                 1.0849,                  1.391,                 0.8399,                 0.7909,                0.86876,                0.56674,                 1.2879,                0.73226,                 1.5155,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.226,                 1.0221,                 1.3682,                0.80819,                0.83374,                 0.8909,                0.58156,                 1.2727,                0.68822,                 1.5033,               0.009802,               0.009802,               0.009802
                      7,                 1.2095,                0.98756,                 1.3574,                0.88127,                0.79384,                0.88768,                0.58316,                 1.2809,                 0.6967,                 1.5127,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1917,                0.95251,                 1.3439,                0.80593,                0.84776,                0.89355,                0.59314,                 1.2669,                0.64816,                 1.4963,               0.009703,               0.009703,               0.009703
                      9,                 1.1795,                0.92785,                  1.337,                0.89443,                0.81072,                0.91274,                0.60696,                 1.2594,                0.61955,                  1.479,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.172,                0.91315,                 1.3302,                0.88408,                0.84127,                0.91322,                0.61116,                 1.2388,                 0.6178,                 1.4704,               0.009604,               0.009604,               0.009604
                     11,                 1.1634,                0.88927,                 1.3245,                0.87794,                0.83988,                0.91509,                 0.6131,                 1.2458,                0.62347,                 1.4739,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1577,                0.87546,                 1.3208,                 0.8646,                0.85203,                0.90758,                0.60478,                 1.2448,                0.61122,                 1.4714,               0.009505,               0.009505,               0.009505
                     13,                 1.1517,                 0.8645,                 1.3178,                0.88766,                0.84898,                 0.9207,                0.61346,                 1.2576,                0.59101,                 1.4712,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1451,                0.84986,                 1.3112,                0.87486,                0.84975,                0.91599,                0.61969,                 1.2314,                0.58628,                 1.4617,               0.009406,               0.009406,               0.009406
                     15,                 1.1407,                0.83669,                 1.3076,                0.87925,                0.86291,                0.92387,                0.61684,                 1.2385,                0.57909,                 1.4579,              0.0093565,              0.0093565,              0.0093565
                     16,                   1.13,                0.82386,                 1.3014,                0.89496,                0.85825,                0.92526,                0.62233,                 1.2387,                0.57706,                 1.4555,               0.009307,               0.009307,               0.009307
                     17,                 1.1309,                0.81993,                 1.3012,                0.87241,                0.88631,                0.93158,                0.63183,                 1.2285,                0.56287,                 1.4476,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1271,                0.81108,                 1.3002,                0.91976,                0.84667,                0.93099,                0.63587,                 1.2183,                0.55777,                 1.4362,               0.009208,               0.009208,               0.009208
                     19,                 1.1195,                0.80319,                 1.2938,                 0.8841,                0.88581,                0.93021,                0.63481,                 1.2184,                0.55218,                 1.4401,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.1208,                0.80096,                 1.2952,                0.88537,                0.89032,                0.92972,                0.63312,                 1.2219,                0.54669,                 1.4428,               0.009109,               0.009109,               0.009109
                     21,                 1.1141,                0.79007,                 1.2924,                0.91067,                0.87094,                0.92794,                 0.6312,                 1.2231,                0.54792,                 1.4452,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.1101,                0.78632,                 1.2894,                0.91829,                0.86238,                0.92666,                0.63049,                 1.2204,                0.55039,                 1.4419,                0.00901,                0.00901,                0.00901
                     23,                 1.1082,                0.77888,                 1.2885,                0.90869,                0.87316,                0.93065,                0.63146,                 1.2226,                 0.5442,                 1.4414,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.1007,                0.76876,                 1.2835,                0.90725,                0.88773,                0.93156,                0.63376,                 1.2199,                0.54212,                 1.4408,               0.008911,               0.008911,               0.008911
                     25,                  1.099,                0.76276,                 1.2807,                0.91422,                 0.8826,                 0.9331,                 0.6365,                 1.2221,                 0.5323,                  1.442,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0995,                0.76103,                 1.2808,                0.90699,                0.88753,                0.93437,                0.63829,                 1.2229,                0.53259,                 1.4436,               0.008812,               0.008812,               0.008812
                     27,                 1.0928,                0.75324,                 1.2787,                0.90469,                0.89213,                0.93559,                0.63852,                 1.2247,                0.52977,                 1.4448,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0889,                0.74309,                 1.2748,                0.89779,                 0.8962,                0.93718,                0.63632,                 1.2282,                 0.5277,                 1.4472,               0.008713,               0.008713,               0.008713
                     29,                 1.0854,                0.74224,                 1.2711,                0.89091,                0.89393,                 0.9368,                0.63817,                 1.2287,                0.52676,                 1.4464,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0844,                0.73653,                 1.2708,                0.89587,                0.89502,                 0.9367,                0.63892,                 1.2286,                0.52415,                 1.4467,               0.008614,               0.008614,               0.008614
                     31,                 1.0779,                0.73327,                 1.2675,                0.89304,                0.89876,                0.93689,                0.63885,                 1.2282,                0.52483,                 1.4463,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.0738,                0.72278,                 1.2644,                0.89088,                0.89643,                0.93618,                0.63833,                 1.2267,                0.52576,                 1.4456,               0.008515,               0.008515,               0.008515
                     33,                 1.0695,                0.71877,                 1.2624,                0.91629,                0.87465,                0.93684,                0.63822,                 1.2263,                0.52412,                 1.4461,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0665,                0.71609,                 1.2623,                0.91872,                0.86964,                0.93547,                0.63677,                  1.226,                 0.5275,                 1.4467,               0.008416,               0.008416,               0.008416
                     35,                 1.0652,                0.71509,                 1.2606,                0.92184,                0.86896,                0.93541,                0.63679,                 1.2268,                0.52944,                 1.4484,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0599,                 0.7081,                 1.2569,                0.91395,                0.87416,                0.93609,                0.63872,                 1.2269,                 0.5282,                 1.4486,               0.008317,               0.008317,               0.008317
                     37,                  1.061,                0.70317,                 1.2575,                0.91474,                0.86851,                 0.9353,                0.63679,                 1.2277,                0.53024,                 1.4499,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0568,                0.70244,                 1.2541,                0.91278,                0.87369,                0.93549,                0.63686,                 1.2274,                0.53158,                 1.4497,               0.008218,               0.008218,               0.008218
                     39,                 1.0537,                0.69897,                 1.2531,                 0.9177,                0.88182,                0.93582,                0.63645,                  1.228,                0.52874,                 1.4511,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0514,                 0.7002,                 1.2539,                 0.9146,                0.88301,                0.93563,                0.63805,                 1.2286,                0.52991,                 1.4522,               0.008119,               0.008119,               0.008119
                     41,                  1.048,                0.69341,                  1.248,                0.91473,                0.88206,                0.93526,                0.63866,                 1.2287,                0.53035,                 1.4519,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0428,                 0.6894,                 1.2472,                0.91715,                0.87784,                0.93618,                0.63976,                 1.2298,                0.53232,                 1.4532,                0.00802,                0.00802,                0.00802
                     43,                  1.042,                0.68495,                  1.246,                0.92114,                0.87573,                0.93562,                0.64062,                 1.2306,                0.53272,                 1.4535,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0371,                0.68241,                 1.2453,                0.92201,                0.87557,                0.93676,                0.64306,                 1.2308,                0.53059,                 1.4536,               0.007921,               0.007921,               0.007921
                     45,                 1.0324,                0.67696,                 1.2412,                0.92254,                0.87519,                0.93701,                0.64298,                 1.2317,                0.52917,                  1.454,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0274,                0.67654,                 1.2401,                0.92035,                0.87503,                0.93699,                0.64324,                 1.2338,                 0.5266,                 1.4559,               0.007822,               0.007822,               0.007822
                     47,                 1.0264,                0.67215,                 1.2377,                0.92726,                0.86933,                  0.937,                 0.6436,                 1.2356,                 0.5262,                 1.4569,              0.0077725,              0.0077725,              0.0077725
                     48,                   1.02,                 0.6686,                 1.2357,                0.92677,                0.87158,                0.93756,                0.64294,                 1.2362,                0.52509,                 1.4576,               0.007723,               0.007723,               0.007723
                     49,                 1.0188,                0.66431,                 1.2316,                0.92709,                0.87086,                 0.9367,                0.64271,                  1.235,                0.52459,                 1.4564,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0153,                0.66486,                 1.2332,                0.92792,                0.87042,                0.93718,                0.64223,                 1.2349,                0.52365,                 1.4559,               0.007624,               0.007624,               0.007624
